mean_roz,sigma_roz,mu_sig_addr,sigma_eta
0,0,0,0
0,1,1,1
0,2,2,2
0,3,3,3
0,4,4,4
0,5,5,6
0,6,6,7
0,7,7,8
0,8,8,9
0,9,9,11
0,10,10,12
0,11,11,13
0,12,12,14
0,13,13,15
0,14,14,17
0,15,15,18
0,16,16,19
0,17,17,20
0,18,18,22
0,19,19,23
0,20,20,24
0,21,21,25
0,22,22,26
0,23,23,28
0,24,24,29
0,25,25,30
0,26,26,31
0,27,27,31
0,28,28,31
0,29,29,31
0,30,30,31
0,31,31,31
0,32,32,31
0,33,33,31
0,34,34,31
0,35,35,31
0,36,36,31
0,37,37,31
0,38,38,31
0,39,39,31
0,40,40,31
0,41,41,31
0,42,42,31
0,43,43,31
0,44,44,31
0,45,45,31
0,46,46,31
0,47,47,31
0,48,48,31
0,49,49,31
0,50,50,31
0,51,51,31
0,52,52,31
0,53,53,31
0,54,54,31
0,55,55,31
0,56,56,31
0,57,57,31
0,58,58,31
0,59,59,31
0,60,60,31
0,61,61,31
0,62,62,31
0,63,63,31
1,0,64,0
1,1,65,1
1,2,66,2
1,3,67,3
1,4,68,4
1,5,69,5
1,6,70,6
1,7,71,7
1,8,72,9
1,9,73,10
1,10,74,11
1,11,75,12
1,12,76,13
1,13,77,14
1,14,78,15
1,15,79,16
1,16,80,18
1,17,81,19
1,18,82,20
1,19,83,21
1,20,84,22
1,21,85,23
1,22,86,24
1,23,87,26
1,24,88,27
1,25,89,28
1,26,90,29
1,27,91,30
1,28,92,31
1,29,93,31
1,30,94,31
1,31,95,31
1,32,96,31
1,33,97,31
1,34,98,31
1,35,99,31
1,36,100,31
1,37,101,31
1,38,102,31
1,39,103,31
1,40,104,31
1,41,105,31
1,42,106,31
1,43,107,31
1,44,108,31
1,45,109,31
1,46,110,31
1,47,111,31
1,48,112,31
1,49,113,31
1,50,114,31
1,51,115,31
1,52,116,31
1,53,117,31
1,54,118,31
1,55,119,31
1,56,120,31
1,57,121,31
1,58,122,31
1,59,123,31
1,60,124,31
1,61,125,31
1,62,126,31
1,63,127,31
2,0,128,0
2,1,129,1
2,2,130,2
2,3,131,3
2,4,132,4
2,5,133,5
2,6,134,6
2,7,135,7
2,8,136,8
2,9,137,9
2,10,138,10
2,11,139,11
2,12,140,12
2,13,141,13
2,14,142,14
2,15,143,15
2,16,144,16
2,17,145,17
2,18,146,18
2,19,147,19
2,20,148,21
2,21,149,22
2,22,150,23
2,23,151,24
2,24,152,25
2,25,153,26
2,26,154,27
2,27,155,28
2,28,156,29
2,29,157,30
2,30,158,31
2,31,159,31
2,32,160,31
2,33,161,31
2,34,162,31
2,35,163,31
2,36,164,31
2,37,165,31
2,38,166,31
2,39,167,31
2,40,168,31
2,41,169,31
2,42,170,31
2,43,171,31
2,44,172,31
2,45,173,31
2,46,174,31
2,47,175,31
2,48,176,31
2,49,177,31
2,50,178,31
2,51,179,31
2,52,180,31
2,53,181,31
2,54,182,31
2,55,183,31
2,56,184,31
2,57,185,31
2,58,186,31
2,59,187,31
2,60,188,31
2,61,189,31
2,62,190,31
2,63,191,31
3,0,192,0
3,1,193,0
3,2,194,1
3,3,195,2
3,4,196,3
3,5,197,4
3,6,198,5
3,7,199,6
3,8,200,7
3,9,201,8
3,10,202,9
3,11,203,10
3,12,204,11
3,13,205,12
3,14,206,13
3,15,207,14
3,16,208,15
3,17,209,16
3,18,210,17
3,19,211,18
3,20,212,19
3,21,213,20
3,22,214,21
3,23,215,22
3,24,216,23
3,25,217,24
3,26,218,25
3,27,219,26
3,28,220,27
3,29,221,28
3,30,222,29
3,31,223,30
3,32,224,31
3,33,225,31
3,34,226,31
3,35,227,31
3,36,228,31
3,37,229,31
3,38,230,31
3,39,231,31
3,40,232,31
3,41,233,31
3,42,234,31
3,43,235,31
3,44,236,31
3,45,237,31
3,46,238,31
3,47,239,31
3,48,240,31
3,49,241,31
3,50,242,31
3,51,243,31
3,52,244,31
3,53,245,31
3,54,246,31
3,55,247,31
3,56,248,31
3,57,249,31
3,58,250,31
3,59,251,31
3,60,252,31
3,61,253,31
3,62,254,31
3,63,255,31
4,0,256,0
4,1,257,0
4,2,258,1
4,3,259,2
4,4,260,3
4,5,261,4
4,6,262,5
4,7,263,6
4,8,264,7
4,9,265,8
4,10,266,9
4,11,267,10
4,12,268,11
4,13,269,11
4,14,270,12
4,15,271,13
4,16,272,14
4,17,273,15
4,18,274,16
4,19,275,17
4,20,276,18
4,21,277,19
4,22,278,20
4,23,279,21
4,24,280,22
4,25,281,23
4,26,282,23
4,27,283,24
4,28,284,25
4,29,285,26
4,30,286,27
4,31,287,28
4,32,288,29
4,33,289,30
4,34,290,31
4,35,291,31
4,36,292,31
4,37,293,31
4,38,294,31
4,39,295,31
4,40,296,31
4,41,297,31
4,42,298,31
4,43,299,31
4,44,300,31
4,45,301,31
4,46,302,31
4,47,303,31
4,48,304,31
4,49,305,31
4,50,306,31
4,51,307,31
4,52,308,31
4,53,309,31
4,54,310,31
4,55,311,31
4,56,312,31
4,57,313,31
4,58,314,31
4,59,315,31
4,60,316,31
4,61,317,31
4,62,318,31
4,63,319,31
5,0,320,0
5,1,321,0
5,2,322,1
5,3,323,2
5,4,324,3
5,5,325,4
5,6,326,5
5,7,327,6
5,8,328,6
5,9,329,7
5,10,330,8
5,11,331,9
5,12,332,10
5,13,333,11
5,14,334,12
5,15,335,13
5,16,336,13
5,17,337,14
5,18,338,15
5,19,339,16
5,20,340,17
5,21,341,18
5,22,342,19
5,23,343,19
5,24,344,20
5,25,345,21
5,26,346,22
5,27,347,23
5,28,348,24
5,29,349,25
5,30,350,26
5,31,351,26
5,32,352,27
5,33,353,28
5,34,354,29
5,35,355,30
5,36,356,31
5,37,357,31
5,38,358,31
5,39,359,31
5,40,360,31
