ID: F
Metadata: (strobe,) start of orbit, start of packet, end of packet, valid

      Link              004                    005                    006                    007                    008                    009                    010                    011                    012                    013                    014                    015                    016                    017                    018                    019                    020                    021                    022                    023                    024                    025                    026                    027                    028                    029                    030                    031                    032                    033                    034                    035                    036                    037                    038                    039                    040                    041                    042                    043                    044                    045                    046                    047                    048                    049                    050                    051                    052                    053                    054                    055                    056                    057                    058                    059                    060                    061                    062                    063                    064                    065                    066                    067                    068                    069                    070                    071                    072                    073                    074                    075                    076                    077                    078                    079                    080                    081                    082                    083                    084                    085                    086                    087                    088                    089                    090                    091                    092                    093                    094                    095                    096                    097                    098                    099                    100                    101                    102                    103                    104                    105                    106                    107                    108                    109                    110                    111                    112                    113                    114                    115                    116                    117                    118                    119                    120                    121                    122                    123        
Frame 0000    0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000
Frame 0001    0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000
Frame 0002    0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000  0001 0600040082008000  0001 8000040082008000
Frame 0003    0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000  0001 0e000c000a000800  0001 0000000000000000
Frame 0004    0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000  0001 0000000000001000  0001 0000000000000000
Frame 0005    0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000  0001 0600040082008000  0001 0000000000000000
Frame 0006    0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000  0001 0c00080084008000  0001 0000000000000000
Frame 0007    0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000  0001 0000040082008000  0001 0000000000000000
Frame 0008    0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000
Frame 0009    0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000
